SimpleID,Manual_annotation
O75419,Replisome
P49736,Replisome
P25205,Replisome
P33991,Replisome
P33992,Replisome
Q14566,Replisome
P33993,Replisome
Q14691,Replisome
Q9Y248,Replisome
Q9BRX5,Replisome
Q9BRT9,Replisome
Q07864,Replisome
P56282,Replisome
Q9NRF9,Replisome
Q9NR33,Replisome
P28340,Replisome
P49005,Replisome
Q15054,Replisome
Q9HCU8,Replisome
P49642,Replisome
P49643,Replisome
P09884,Replisome
Q14181,Replisome
P12004,Replisome
P35251,Replisome
P35250,Replisome
P40938,Replisome
P35249,Replisome
P40937,Replisome
Q8WVB6,Replisome
P0CG13,Replisome
Q9BVC3,Replisome
Q96QE3,Replisome
Q9HAW4,Replisome
O75717,Replisome
Q9UNS1,Replisome
Q9BVW5,Replisome
Q7L590,Replisome
P27694,Replisome
P15927,Replisome
P35244,Replisome
P18858,Replisome
P39748,Replisome
P51530,Replisome
Q13111,Histone_chaperones
Q13112,Histone_chaperones
Q09028,Histone_chaperones
Q9Y294,Histone_chaperones
Q9NVP2,Histone_chaperones
P49321,Histone_chaperones
Q7KZ85,Histone_chaperones
P46100,Histone_chaperones
Q9UER7,Histone_chaperones
P54198,Histone_chaperones
Q08945,Histone_chaperones
Q9Y5B9,Histone_chaperones
P06748,Histone_chaperones
O75607,Histone_chaperones
P55209,Histone_chaperones
P19338,Histone_chaperones
Q99733,Histone_chaperones
Q14207,Metabolism_canonical_histones
Q9UKL3,Metabolism_canonical_histones
Q14493,Metabolism_canonical_histones
P83369,Metabolism_canonical_histones
Q969L4,Metabolism_canonical_histones
Q8WTR7,Metabolism_canonical_histones
A9UHW6,Metabolism_canonical_histones
Q13111,Metabolism_canonical_histones
Q13112,Metabolism_canonical_histones
Q09028,Metabolism_canonical_histones
Q9Y294,Metabolism_canonical_histones
Q9NVP2,Metabolism_canonical_histones
P49321,Metabolism_canonical_histones
Q7KZ85,Metabolism_canonical_histones
Q08945,Metabolism_canonical_histones
Q9Y5B9,Metabolism_canonical_histones
P06748,Metabolism_canonical_histones
O75607,Metabolism_canonical_histones
P55209,Metabolism_canonical_histones
P19338,Metabolism_canonical_histones
Q99733,Metabolism_canonical_histones
Q9UQ84,DNA_repair_associated_with_replication
P52701,DNA_repair_associated_with_replication
P43246,DNA_repair_associated_with_replication
Q9NS91,DNA_repair_associated_with_replication
P20585,DNA_repair_associated_with_replication
Q99638,DNA_repair_associated_with_replication
O60921,DNA_repair_associated_with_replication
P38398,DNA_repair_associated_with_replication
Q12888,DNA_repair_associated_with_replication
O94762,DNA_repair_associated_with_replication
Q92878,DNA_repair_associated_with_replication
O60934,DNA_repair_associated_with_replication
P49959,DNA_repair_associated_with_replication
P51587,DNA_repair_associated_with_replication
Q9NZC9,DNA_repair_associated_with_replication
Q9Y620,DNA_repair_associated_with_replication
Q8WXE1,DNA_repair_associated_with_replication
O14757,DNA_repair_associated_with_replication
P40692,DNA_repair_associated_with_replication
Q6ZRQ5,DNA_repair_associated_with_replication
Q92547,DNA_repair_associated_with_replication
P54278,DNA_repair_associated_with_replication
Q96HA7,DNA_repair_associated_with_replication
Q92698,DNA_repair_associated_with_replication
Q9BX63,DNA_repair_associated_with_replication
P54277,DNA_repair_associated_with_replication
Q06609,DNA_repair_associated_with_replication
Q96S55,DNA_repair_associated_with_replication
O75943,DNA_repair_associated_with_replication
P54132,DNA_repair_associated_with_replication
Q96SB8,DNA_repair_associated_with_replication
Q96NY9,DNA_repair_associated_with_replication
Q13535,DNA_repair_associated_with_replication
Q9H9A7,DNA_repair_associated_with_replication
Q8IY18,DNA_repair_associated_with_replication
P46063,DNA_repair_associated_with_replication
Q14191,DNA_repair_associated_with_replication
Q99708,DNA_repair_associated_with_replication
Q99728,DNA_repair_associated_with_replication
Q86YC2,DNA_repair_associated_with_replication
